iter	MultiClass	Accuracy
407	1.349473081	0.6248863489
408	1.348371309	0.6263151059
409	1.347461991	0.6268346539
410	1.34637698	0.6270944278
411	1.345370793	0.6282634108
412	1.343761666	0.6295622808
413	1.342946474	0.6289128458
414	1.342107976	0.6295622808
415	1.34108533	0.6307312638
416	1.340283705	0.6313806988
417	1.339350106	0.6320301338
418	1.338302421	0.6333290038
419	1.33697232	0.6343680998
420	1.336483718	0.6351474217
421	1.335343767	0.6341083258
422	1.334405343	0.6342382128
423	1.332557149	0.6355370827
424	1.331454897	0.6357968567
425	1.330196595	0.6370957267
426	1.329145597	0.6380049357
427	1.327800283	0.6383945967
428	1.32617623	0.6398233537
429	1.324768989	0.6413819977
430	1.323998155	0.6411222237
431	1.322858132	0.6407325627
432	1.322477498	0.6408624497
433	1.321319265	0.6413819977
434	1.319999403	0.6417716587
435	1.319031716	0.6434601896
436	1.317760138	0.6442395116
437	1.317016416	0.6450188336
438	1.315791126	0.6454084946
439	1.315080284	0.6469671386
440	1.314065833	0.6472269126
441	1.313081749	0.6476165736
442	1.312254412	0.6483958956
443	1.311012258	0.6489154436
444	1.309780175	0.6490453306
445	1.308688971	0.6490453306
446	1.307057755	0.6502143135
447	1.305354711	0.6502143135
448	1.303809767	0.6506039745
449	1.302476649	0.6532017145
450	1.301352362	0.6545005845
451	1.300229275	0.6551500195
452	1.298779106	0.6565787765
453	1.298206943	0.6570983245
454	1.297305113	0.6580075334
455	1.296355169	0.6580075334
456	1.294890784	0.6578776464
457	1.293993225	0.6583971944
458	1.292739208	0.6591765164
459	1.29144217	0.6598259514
460	1.290339583	0.6599558384
461	1.28938915	0.6608650474
462	1.288595574	0.6612547084
463	1.287525099	0.6613845954
464	1.286690377	0.6617742564
465	1.285518006	0.6629432394
466	1.283783551	0.6617742564
467	1.282167941	0.6632030134
468	1.281467093	0.6634627874
469	1.280425717	0.6646317704
470	1.279582593	0.6646317704
471	1.278109013	0.6660605273
472	1.277369079	0.6667099623
473	1.27624793	0.6669697363
474	1.274978833	0.6669697363
475	1.273541215	0.6667099623
476	1.272699333	0.6668398493
477	1.27184339	0.6676191713
478	1.270184902	0.6693077023
479	1.269640879	0.6687881543
480	1.26839115	0.6698272503
481	1.267372591	0.6699571373
482	1.266019762	0.6703467983
483	1.264494853	0.6709962333
484	1.263413334	0.6715157813
485	1.262528311	0.6725548773
486	1.261384399	0.6741135212
487	1.260068229	0.6754123912
488	1.259023385	0.6747629562
489	1.258353447	0.6755422782
490	1.257519575	0.6752825042
491	1.256731126	0.6747629562
492	1.255834272	0.6759319392
493	1.255207613	0.6764514872
494	1.254785782	0.6777503572
495	1.254488053	0.6772308092
496	1.253092466	0.6780101312
497	1.252068924	0.6783997922
498	1.251525906	0.6791791142
499	1.250927465	0.6785296792
500	1.249604954	0.6790492272
501	1.24799026	0.6803480972
502	1.246554137	0.6802182102
503	1.245047218	0.6811274191
504	1.244245727	0.6817768541
505	1.243048124	0.6824262891
506	1.242333065	0.6821665151
507	1.241492388	0.6829458371
508	1.240168885	0.6835952721
509	1.238845992	0.6828159501
510	1.237482447	0.6839849331
511	1.236738383	0.6845044811
512	1.235195304	0.6855435771
513	1.234252822	0.6864527861
514	1.23299791	0.6864527861
515	1.232763918	0.6867125601
516	1.232141292	0.6878815431
517	1.230927077	0.6882712041
518	1.230127641	0.6882712041
519	1.229107634	0.689829848
520	1.228532703	0.689699961
521	1.227915855	0.690219509
522	1.227147116	0.690349396
523	1.226096352	0.690998831
524	1.225572747	0.692167814
525	1.224803626	0.692557475
526	1.224076332	0.693336797
527	1.222598642	0.693856345
528	1.221675379	0.694765554
529	1.2207295	0.694895441
530	1.219264171	0.695025328
531	1.218331086	0.695414989
532	1.217881234	0.696064424
533	1.216807702	0.6963241979
534	1.216172375	0.695544876
535	1.214966248	0.69580465
536	1.213891117	0.6967138589
537	1.212986327	0.6972334069
538	1.212156262	0.6981426159
539	1.210418426	0.6993115989
540	1.209423348	0.7000909209
541	1.208223309	0.7008702429
542	1.207461286	0.6997012599
543	1.206840593	0.7007403559
544	1.20586294	0.7016495649
545	1.204705732	0.7030783219
546	1.203733866	0.7028185479
547	1.203474932	0.7030783219
548	1.20294577	0.7032082089
549	1.201856165	0.7050266268
550	1.201152327	0.7069749318
551	1.199879702	0.7073645928
552	1.198645342	0.7084036888
553	1.19792132	0.7081439148
554	1.19731039	0.7081439148
555	1.196485741	0.7097025588
556	1.195405722	0.7103519938
557	1.194144285	0.7102221068
558	1.193548734	0.7107416548
559	1.192549159	0.7115209768
560	1.19160684	0.7126899597
561	1.190408644	0.7128198467
562	1.189649875	0.7132095077
563	1.189064317	0.7129497337
564	1.188731421	0.7134692817
565	1.18804894	0.7145083777
566	1.186985257	0.7147681517
567	1.185890559	0.7158072477
568	1.184980558	0.7158072477
569	1.183772316	0.7169762307
570	1.183129867	0.7160670217
571	1.182552204	0.7161969087
572	1.181836351	0.7174957787
573	1.180766675	0.7178854397
574	1.179681604	0.7180153267
575	1.179166042	0.7189245357
576	1.178200872	0.7187946487
577	1.177078998	0.7187946487
578	1.17621676	0.7204831796
579	1.175214144	0.7203532926
580	1.174166956	0.7213923886
581	1.172884809	0.7229510326
582	1.171715416	0.7230809196
583	1.170636853	0.7228211456
584	1.169866428	0.7236004676
585	1.168961987	0.7241200156
586	1.167490525	0.7250292246
587	1.166288908	0.7247694506
588	1.165697821	0.7259384336
589	1.164973381	0.7256786596
590	1.16400242	0.7259384336
591	1.163532638	0.7252889986
592	1.162467892	0.7263280946
593	1.161131986	0.7269775295
594	1.160369917	0.7272373035
595	1.160059644	0.7268476426
596	1.159008237	0.7276269645
597	1.158026884	0.7286660605
598	1.156863228	0.7298350435
599	1.155692025	0.7302247045
600	1.154119566	0.7319132355
601	1.15317112	0.7321730095
602	1.152373155	0.7316534615
603	1.151782497	0.7321730095
604	1.150754691	0.7319132355
605	1.150579758	0.7323028965
606	1.149581723	0.7328224445
607	1.148919647	0.7338615405
608	1.148019897	0.7341213145
609	1.147310066	0.7339914275
610	1.145855763	0.7343810885
611	1.144019852	0.7350305234
612	1.142692885	0.7363293934
613	1.141640154	0.7371087154
614	1.140950667	0.7372386024
615	1.13970081	0.7365891674
616	1.139013908	0.7371087154
617	1.137505181	0.7385374724
618	1.136390763	0.7385374724
619	1.135804402	0.7391869074
620	1.134908215	0.7389271334
621	1.134024718	0.7391869074
622	1.132527425	0.7417846474
623	1.131565797	0.7419145344
624	1.130579523	0.7423041954
625	1.130077328	0.7437329523
626	1.129243727	0.7439927263
627	1.128288853	0.7443823873
628	1.127807277	0.7450318223
629	1.12729358	0.7446421613
630	1.126696307	0.7443823873
631	1.12594783	0.7445122743
632	1.125046332	0.7445122743
633	1.124488904	0.7451617093
634	1.123088159	0.7460709183
635	1.122250332	0.7463306923
636	1.12066512	0.7463306923
637	1.119555893	0.7465904663
638	1.11891781	0.7465904663
639	1.118486779	0.7472399013
640	1.117510279	0.7477594493
641	1.116241203	0.7481491103
642	1.115416739	0.7489284323
643	1.11479536	0.7494479803
644	1.113513381	0.7494479803
645	1.11215093	0.7504870762
646	1.110888977	0.7494479803
647	1.109657801	0.7507468502
648	1.108645567	0.7508767372
649	1.107765705	0.7513962852
650	1.107029238	0.7524353812
651	1.105975081	0.7530848162
652	1.105028408	0.7545135732
653	1.103829745	0.7551630082
654	1.103373481	0.7554227822
655	1.102610558	0.7560722172
656	1.101763304	0.7555526692
657	1.100817795	0.7559423302
658	1.10009539	0.7567216522
659	1.098329708	0.7578906351
660	1.097363875	0.7589297311
661	1.096694096	0.7590596181
662	1.095771009	0.7593193921
663	1.095200204	0.7595791661
664	1.094637919	0.7602286011
665	1.093918492	0.7604883751
666	1.092460374	0.7612676971
667	1.09162044	0.7615274711
668	1.090606923	0.7619171321
669	1.089341898	0.7620470191
